"name"	"label"	"gender"	"churchperson"	"middle_class"	"kinship_id"	"cathar_aff"	"apostle_aff"	"other_heterodoxy_aff"	"deponent"	"redeponent"	"ever_summoned"	"ever_pledged"	"ever_incarcerated"	"ever_tortured"	"inq_FV"	"inq_GV"	"inq_GP"	"inq_BdF"	"non_id_aff"
"P0255"	"Benedictus Mulnarii de Collina de Monçorgio"	1	1	0	248	0	1	0	0	0	0	0	0	0	0	1	0	1	0
"P0259"	"Benincasa Martini Gaglari"	1	1	0	252	0	0	0	1	1	1	0	0	0	0	1	0	0	1
"P0263"	"Benvenuta Truglonis"	0	0	0	169	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0267"	"Benvenuta de Montebellio de Plumatio"	0	0	1	77	0	1	0	1	0	1	0	0	0	0	0	1	1	0
"P0270"	"Benvenuta de Blanchis"	0	0	0	261	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0273"	"Benvenuta de Monçorgio"	0	1	0	264	0	1	0	0	0	0	0	0	0	0	1	0	0	0
"P0276"	"Benvenuta de Plumatio"	0	0	0	267	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0277"	"Benvenuta de S. Çexario"	0	0	0	268	0	1	0	0	0	0	0	0	0	0	0	0	1	0
"P0282"	"Benvenutus"	1	0	1	272	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0283"	"Benvenutus"	1	1	0	273	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"P0286"	"Benvenutus de Cremona"	1	0	0	276	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0290"	"Benvenutus de Blanchis de S. Helena"	1	0	0	261	0	1	0	1	1	1	0	0	0	0	0	1	0	0
"P0291"	"Benvenutus Magnani"	1	0	0	280	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"P0297"	"Benvenutus Truglonis de Montebellio"	1	0	0	286	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0298"	"Benvenutus"	1	0	0	287	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0299"	"Bençevennis de Porta Ravennate"	1	0	1	288	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0300"	"Berardus"	1	0	0	289	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0304"	"Bererius de Ansandris"	1	0	0	293	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0310"	"Bernardinus de Bochadeferris de Plumatio"	1	0	0	299	0	0	0	0	0	0	0	0	0	0	0	1	0	1
"P0311"	"Bernardinus de Bononia de burgo S. Felicis"	1	0	1	300	0	1	0	0	0	0	0	0	0	0	1	1	0	0
"P0314"	"Bernardinus de Monte Vallaro"	1	0	0	303	0	1	0	0	0	0	0	0	0	0	1	1	0	0
"P0315"	"Bernardinus de Regio"	1	1	0	304	0	0	0	1	0	1	0	0	0	0	1	0	0	1
"P0318"	"Bernardus"	1	0	1	307	0	1	0	0	0	0	0	0	0	0	1	0	0	0
"P0321"	"Berta de terra Canevelle"	0	0	0	98	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0322"	"Berta Savii"	0	0	0	310	0	1	0	0	0	0	0	0	0	0	0	0	1	0
"P0323"	"Berta Guarini de Plumatio"	0	0	0	311	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0326"	"Bertea"	0	0	0	314	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0329"	"Bertucius de Armis"	1	0	0	317	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0331"	"Bexe"	0	0	0	319	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"P0346"	"Bitinus Çannis"	1	0	0	334	0	1	0	1	1	0	0	0	0	0	0	1	0	0
"P0350"	"Blaxius Maglavache"	1	0	0	338	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"P0353"	"Blasius de Monçorgio"	1	0	0	341	0	1	0	1	1	1	0	0	0	0	1	1	0	0
"P0360"	"Bolnexa de Chasi"	0	0	0	348	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0364"	"Bompetrus Iohannis"	1	0	1	114	1	0	0	1	1	1	0	1	1	0	1	0	0	0
"P0371"	"Bona de Ostis"	0	0	0	358	0	1	0	0	0	0	0	0	0	0	0	1	1	0
"P0376"	"Bonacursius de Mantua"	1	0	1	363	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0378"	"Bonadomna Iunte de Ronchoferario de Mantua"	0	0	0	364	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0380"	"Bonafides"	1	0	0	366	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0381"	"Bonafigla"	0	0	0	367	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0383"	"Bonagratia"	1	1	0	369	0	1	0	0	0	0	0	0	0	0	1	1	0	0
"P0384"	"Bonaiutus"	1	0	0	370	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0385"	"Bonamicus Martini de Lorentiis de Castro Novo"	1	0	0	219	0	1	0	1	0	1	1	0	0	0	0	1	0	0
"P0386"	"Bonaminus de Parma"	1	0	0	128	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0390"	"Bonandrea de Tuschia"	1	0	0	374	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0393"	"Bonaventura Donusdey de Bonçagnis"	0	0	0	377	0	0	0	1	0	0	0	0	0	0	1	0	0	1
"P0394"	"Bonaventura de Galicis"	1	0	0	378	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0395"	"Bonaventura de Lignano"	1	0	0	379	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0396"	"Bonaventura de Strata Maiori"	1	0	0	380	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0397"	"Bonavitta de Florencia"	1	0	0	381	0	1	0	0	0	0	0	0	0	0	1	0	0	0
"P0399"	"Bondi Belondi"	1	1	0	383	0	1	0	1	1	1	0	0	0	0	0	1	0	0
"P0402"	"Bondi Sassolini de Montebellio"	1	0	0	384	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0404"	"Bondiolus"	1	0	0	386	0	0	0	1	0	1	0	0	0	0	1	0	0	1
"P0405"	"Bondiucius Salvetti"	1	1	0	387	0	0	0	1	0	1	0	0	0	0	0	1	0	1
